label,id
Silvio Caldas,288
Simone,289
Sivuca,290
Som Imaginario,291
Sylvia Telles,292
Sérgio Ricardo,293
Sérgio Sampaio,294
Taiguara,295
Tamba 4,296
Tamba Trio,297
Teresa Cristina,298
Tetê Espíndola,299
Thiago Pethit,300
Tim Maia,301
Tiê,302
Toco,303
Tom Jobim & Elis Regina,304
Tom Zé,305
Toni Tornado,306
Toninho Horta,307
Tono,308
Toquinho,309
Tribalistas,310
Trio Mocoto,311
Trupe Chá de Boldo,312
Tulipa Ruiz,313
VELHA GUARDA DA PORTELA,314
Vander Lee,315
Vanessa Da Mata,316
Vanguart,317
Verônica Sabino,318
Vicente Celestino,319
Victor Assis Brasil,320
Vincius de Moraes,321
Vinícius de Moraes,322
Virgínia Rodrigues,323
Vitor Ramil,324
Waldir Azevedo,325
Walter Alfaiate,326
Walter Franco,327
Wanda Sá,328
Wilson Das Neves,329
Wilson Simonal,330
Xangai,331
Yamandú Costa,332
Ze Rodrix,333
Zeca Baleiro,334
Zeca Pagodinho,335
Zimbo Trio,336
Zizi Possi,337
Zé Keti,338
Zélia Duncan,339
chico B,340
