label,id
Hamilton De Holanda Quinteto,291
Henrique Cazes,292
Heraldo Do Monte,293
Hermeto Pascoal,294
Herva Doce,295
Hyldon,296
Identidade,297
Irah Caldeira,298
Isabella Taviani,299
Isaura Garcia,300
Ismael Silva,301
Itamar Assumpção,302
Ivan Lins,303
Jacinto Silva,304
Jackson Do Pandeiro,305
Jacob Do Bandolim,306
Jair Oliveira,307
Jair Rodrigues,308
Jamelão,309
Jammil,310
Jards Macalé,311
Jayme Caetano Braun,312
Jeito Moleque,313
Jerry Adriani,314
Jessé,315
Joao Do Vale,316
Joao Petra De Barros,317
Joca Martins,318
Joci Batista,319
Joel Nascimento,320
Joelho De Porco,321
Johnny Alf,322
Jorge Aragão,323
Jorge Ben Jor,324
Jorge De Altinho,325
Jorge Guedes,326
Jorge Mautner,327
Jorge Veiga,328
Jorge Vercillo,329
Josildo Sá,330
José Augusto,331
José Cláudio Machado,332
José Orlando,333
Joyce,334
João Bosco,335
João Chagas Leite,336
João Donato,337
João Donato E Seu Trio,338
João de Almeida Neto,339
Junio Barreto,340
Jupiter Apple,341
Jussara Silveira,342
K-Ximbinho,343
Karina Buhr,344
Katinguelê,345
Kid Abelha,346
Kiko Zambianchi,347
Kleiton & Kledir,348
Leila Pinheiro,349
Lenine,350
Lenny Andrade,351
Leny Andrade,352
Leo Estakazero,353
Leo Jaime,354
Leonel Gomez,355
Leoni,356
Leopoldo Rassier,357
Lia de Itamaracá,358
Limão Com Mel,359
Linda Batista,360
Lindomar Castilho,361
Lobão,362
Luan Estilizado,363
Lucas Santtana,364
Luciana Mello,365
Luciano Maia,366
Lucio Alves,367
Lucio Yanel,368
Luis Carlos Borges,369
Luiz Bastos,370
Luiz Caldas,371
Luiz Carlos Borges,372
Luiz Fidélis,373
Luiz Gonzaga,374
Luiz Marenco,375
Luiz Melodia,376
Luiz Tatit,377
Luiza Possi,378
Lula Côrtes,379
Lula Queiroga,380
Lupicínio Rodrigues,381
Lô Borges,382
Maciel Melo,383
Maciel Salú,384
Magníficos,385
Malla 100 Alça,386
Manhoso,387
Mano Lima,388
Maquinado,389
Marcello Gonçalves,390
Marco Pereira,391
Marcos Valle,392
Marcus Tardelli,393
Maria Bethânia,394
Maria Creuza,395
Maria Gadú,396
Maria Rita,397
Maria do Relento,398
Mariana Aydar,399
Mariene De Castro,400
Marina De La Riva,401
Marina Lima,402
Marinalva,403
Marines,404
Marinês E Sua Gente,405
Mario Reis,406
Marisa Monte,407
Mart'nália,408
Martinha,409
Martinho Da Vila,410
Maskavo,411
Mastruz Com Leite,412
Mauricio Reis,413
Mauro Moraes,414
Maurício Carrilho,415
Meirelles E Os Copa 5,416
Mel Com Terra,417
Menina do Céu,418
Messias Holanda,419
Mestre Ambrósio,420
