label,id
Eduardo Araujo,298
Eduardo Gudin,299
Eduardo Gudin/Paulo Cesar Pinheiro/Marcia,300
Efson,301
Egberto Gismonti,302
Egotrip,303
Elba Ramalho,304
Eliana,305
Eliete Negreiros,306
Elino Julião,307
Elis Regina,308
Elizeth Cardoso,309
Elomar,310
"Elomar, Geraldo Azevedo, Vital Farias e Xangai",311
"Elomar, Geraldo Azevedo, Vital Farias, Xangai",312
Elton Medeiros,313
Elton Mediros,314
Elza Soares,315
Emilinha Borba,316
Emílio Santiago,317
Engenheiros Do Hawaii,318
Erasmo Carlos,319
Evaldo Braga,320
Evaldo Freire,321
Exaltasamba,322
Exporta Samba,323
Expressão Regueira,324
Fabiana Cozza,325
Fafá de Belém,326
Fagner,327
Falamansa,328
Falcão,329
Farofa Carioca,330
Fatima Guedes,331
Felipão,332
Fellini,333
Fernanda Abreu,334
Fernanda Porto,335
Fernanda Takai,336
Fernando Mendes,337
Filipe Catto,338
Filosofia Reggae,339
Filpo Ribeiro e a Feira do Rolo,340
Fino Coletivo,341
Flavio Venturini,342
Flor de Pedra,343
Flora Purim,344
Flotilha em Alta-terra,345
Flávio José,346
Forrofia,347
Forroçacana,348
Forrueiros,349
Forró Balancear,350
Forró Bemtivi,351
Forró De KA,352
Forró Perfeito,353
Forró Raiz,354
Forró Real,355
Forró Saborear,356
Forró Sacode,357
Forró de Lua,358
Forró do Muido,359
Forró dos Plays,360
Francis Hime,361
Francisco Aafa,362
Francisco Alves,363
Frank Aguiar,364
Frejat,365
Frenéticas,366
Fulô de Mandacaru,367
Funk Como Le Gusta,368
Furacão do Forró,369
Fábio Jr.,370
Fábio Paes,371
Gabriel Cavalcante,372
Gabriel Diniz,373
Gabriel Guedes,374
Gabriel O Pensador,375
Gabrielzinho Do Irajá,376
Gal Costa,377
Galocantô,378
Gang Do Samba,379
Gatinha Manhosa,380
Gaviões do Forró,381
Genival Lacerda,382
Genival Santos,383
Genovitor,384
Geraldinho Lins,385
Geraldo Azevedo,386
Geraldo Pereira,387
Geraldo Vandre,388
Germano Mathias,389
Gerson King Combo,390
Gilberto Alves,391
Gilberto Gil,392
Gilberto Milfont,393
Gilliard,394
