label,id
Leroy Hutson,286
Les Amazones d'Afrique,287
Les Rallizes Dénudés,288
Letta Mbulu,289
Lettuce,290
Lijadu Sisters,291
Linda Perhacs,292
Little Beaver,293
Little Wings,294
Lizzy Mercier Descloux,295
Lloyd Miller,296
Lobi Traoré,297
Lokua Kanza,298
London Afrobeat Collective,299
Lonnie Liston Smith,300
Lonnie Liston Smith and the Cosmic Echoes,301
Lura,302
Lyn Collins,303
Lèmma Dèmissèw,304
MRR-ADM,305
Maceo And The Macks,306
Madingo Afework,307
Madlib,308
Mafikizolo,309
Mahmoud Ahmed,310
Majek Fashek,311
Malaika,312
Malcom Catto,313
Mamadou Diabaté,314
Mandrill,315
Manu Dibango,316
Margo Guryan,317
Mariah,318
Marijata,319
Marlena Shaw,320
Marva Whitney,321
Matata,322
Max Roach,323
Mayorkun,324
Menahan Street Band,325
Menelik Wesnatchew,326
Mercury Dance Band,327
Michael Belayneh,328
Michael Hurley,329
Mickey & The Soul Generation,330
Mikaya Behailu,331
Minnie Riperton,332
Miriam Makeba,333
Misled Children,334
Mississippi John Hurt,335
Monomono,336
Monophonics,337
Moondog,338
Mory Kanté,339
Moussa Doumbia,340
Mr. Chop,341
Mulatu Astatke,342
Muluken Mellesse,343
Muluqèn Mèllèssè,344
N'dongo Lo,345
Nahawa Doumbia,346
Netsanet Mellesse,347
Neway Debebe,348
Newen Afrobeat,349
Ngozi Family,350
Nomo,351
Norman Connors,352
Nuru Kane,353
O'Donel Levy,354
Ocote Soul Sounds,355
Odetta,356
Ofege,357
Ohio Players,358
Olamide,359
Oliver Mtukudzi,360
Oliver Nelson,361
Olufemi Ajasa,362
Omar Pene,363
Oneohtrix Point Never,364
Onom Agemo And The Disco Jumpers,365
Orchestra Baobab,366
Orchestra Ethiopia,367
Orchestre Super Borgou de Parakou,368
Orgone,369
Original Wings,370
Orlando Julius,371
Ornette Coleman,372
Osaka Monaurail,373
Oumou Sangaré,374
Pacific Express,375
Pan Ron,376
Papa Wemba,377
Parliament,378
Pat Thomas,379
Paulo Flores,380
Peacocks Guiter Band,381
Peter King,382
Pharoah Sanders,383
Phyno,384
Pleasure,385
Polyrhythmics,386
Quakers,387
Rahsaan Roland Kirk,388
Rajery,389
Ramblin' Jack Elliott,390
Ramsey Lewis,391
Rev. Gary Davis,392
Rikki Ililonga,393
Robbie Basho,394
Robert Lester Folsom,395
Robert Wyatt,396
Robisha Weghegira,397
Rokia Traoré,398
Rona Kenan,399
Ronnie Laws,400
Ros Serey Sothea,401
Roscoe Holcomb,402
Rotary Connection,403
Roy Ayers,404
Roy Ayers Ubiquity,405
Sahara All Stars Band Jos,406
Salif Keita,407
Sami Berhane,408
Samite,409
Samuel Belay,410
Sandy Bull,411
Sankomota,412
Sara Tavares,413
Segun Bucknor & His Revolution,414
Seun Anikulapo Kuti & Egypt 80,415
Seun Kuti,416
Shai Tsabari,417
Shaolin Temple Defenders,418
Sharon Jones & The Dap-Kings,419
Shawn Lee,420
Shin Joong Hyun,421
Shina Williams & His African Percussionists,422
Shuggie Otis,423
Sibongile Khumalo,424
Sibylle Baier,425
Simphiwe Dana,426
Sinn Sisamouth,427
Sir Shina Peters,428
Sir Victor Uwaifo,429
Six Organs Of Admittance,430
Skip James,431
Slave,432
Sly & The Family Stone,433
Smog,434
Smoove,435
Smoove & Turrell,436
Solomon Burke,437
Son House,438
Songhoy Blues,439
Sonny Sharrock,440
Soopasoul,441
Soothsayers,442
Soulive,443
Sound Directions,444
Speedometer,445
Stanton Moore,446
Stark Reality,447
Steve Gunn,448
Stimela,449
Suicide,450
Sun Ra,451
Sun Ra Arkestra,452
Super Eagles,453
Super Mambo 69,454
Surprise Chef,455
Susso,456
Syl Johnson,457
Sékouba Bambino,458
T. P. Orchestre Poly-Rythmo,459
Tadele Beqele,460
Tamikrest,461
Tamiru Tzareghe,462
Tamrat Desta,463
Tartit,464
Tebereh Tesfa-hunegn,465
Ted Hawkins,466
Ted Lucas,467
Teferi Felleqe,468
Tekle Tesfa-ezghi,469
Terakaft,470
Terry Callier,471
Tesfa-maryam Kidane,472
Teshome Mitiku,473
Tewodros Kasshun,474
Thandiswa,475
The 3rd Generation Band,476
The Action 13,477
The Apples,478
The Backyard,479
The Bamboos,480
The Bar-Kays,481
The Blackbyrds,482
The Bongolian,483
The Brothers Johnson,484
The Budos Band,485
The Cleaners From Venus,486
The Crusaders,487
The Daktaris,488
The Durutti Column,489
The Dynamics,490
The Echocentrics,491
The Elcados,492
The Equatics,493
The Fabulous Three,494
The Funk Ark,495
The Funkees,496
The Gaslamp Killer,497
The Greyboy Allstars,498
The Haggis Horns,499
The Heliocentrics,500
The Hygrades,501
The Hykkers,502
The Impressions,503
The Isley Brothers,504
The J.B.'s,505
The Jimmy Castor Bunch,506
The KutiMangoes,507
The Last Electro-Acoustic Space Jazz & Percussion Ensemble,508
The Liberators,509
The Mauskovic Dance Band,510
The Mercury Dance Band,511
The Meters,512
The Mighty Imperials,513
The Natural Yogurt Band,514
The New Mastersounds,515
The O'Jays,516
The Ogyatanaa Show Band,517
The Poets Of Rhythm,518
The Psychedelic Aliens,519
The Quantic Soul Orchestra,520
The Roha Band,521
The Sahara All Stars Of Jos,522
The Semi Colon,523
The Shaolin Afronauts,524
The Sorcerers,525
The Soul Snatchers,526
The Souljazz Orchestra,527
The Sound Stylistics,528
The Spinners,529
The Staple Singers,530
The Sugarman 3,531
The Sweet Vandals,532
The Tony Benson Sextet,533
The Touré-Raichel Collective,534
Theodros Kassahun,535
Theodros Mitiku,536
Theodros Tadesse,537
Thione Seck,538
Third Coast Kings,539
Thony Shorby Nyenwi,540
Tibebu Workyie,541
Tigist Assèfa,542
Tilahun Gessesse,543
Tim Buckley,544
Timothy McNealy,545
Tinariwen,546
Tito Paris,547
Tlahoun Gessesse,548
Tom Browne,549
Tomer Yeshayahu,550
Tony Allen,551
Tony Allen & His Afro Messengers,552
Toumani Diabaté,553
Touré Kunda,554
Trio Valore,555
Tsegaye Eshetu,556
Tsehaytu Beraki,557
Tèwèldè Rèdda,558
Vashti Bunyan,559
Vaudou Game,560
Victor Démé,561
Vieux Farka Touré,562
Vincent Ahehehinnou,563
Voilaaa,564
Vusi Mahlasela,565
WITCH,566
Wallias Band,567
War,568
Washington Phillips,569
Wasis Diop,570
Wayne Shorter,571
Weldon Irvine,572
Whitefield Brothers,573
William Onyeabor,574
Wilson Pickett,575
Woody Guthrie,576
Yahoos,577
Yesterday's New Quintet,578
Yinka Ayefele,579
Young-Holt Unlimited,580
Youssou N'Dour,581
Yusef Lateef,582
cacique'97,583
mombasa,584
